ref,type,label,row,col,x_mm,y_mm,rotation,footprint
D47,diode,"G",3,5,134.563,86.938,90,D_SOD-123
SW48,switch,"H",3,6,147.113,80.438,0,MX_Hotswap_1u
D48,diode,"H",3,6,153.613,86.938,90,D_SOD-123
SW49,switch,"J",3,7,166.162,80.438,0,MX_Hotswap_1u
D49,diode,"J",3,7,172.662,86.938,90,D_SOD-123
SW50,switch,"K",3,8,185.213,80.438,0,MX_Hotswap_1u
D50,diode,"K",3,8,191.713,86.938,90,D_SOD-123
SW51,switch,"L",3,9,204.263,80.438,0,MX_Hotswap_1u
D51,diode,"L",3,9,210.763,86.938,90,D_SOD-123
SW52,switch,";",3,10,223.313,80.438,0,MX_Hotswap_1u
D52,diode,";",3,10,229.813,86.938,90,D_SOD-123
SW53,switch,"'",3,11,242.363,80.438,0,MX_Hotswap_1u
D53,diode,"'",3,11,248.863,86.938,90,D_SOD-123
SW54,switch,"Enter",3,12,273.319,80.438,0,MX_Hotswap_1u
D54,diode,"Enter",3,12,279.819,86.938,90,D_SOD-123
SW55,switch,"LShift",4,0,30.431,99.487,0,MX_Hotswap_1u
D55,diode,"LShift",4,0,36.931,105.987,90,D_SOD-123
SW56,switch,"Z",4,1,61.388,99.487,0,MX_Hotswap_1u
D56,diode,"Z",4,1,67.888,105.987,90,D_SOD-123
SW57,switch,"X",4,2,80.438,99.487,0,MX_Hotswap_1u
D57,diode,"X",4,2,86.938,105.987,90,D_SOD-123
SW58,switch,"C",4,3,99.487,99.487,0,MX_Hotswap_1u
D58,diode,"C",4,3,105.987,105.987,90,D_SOD-123
SW59,switch,"V",4,4,118.538,99.487,0,MX_Hotswap_1u
D59,diode,"V",4,4,125.038,105.987,90,D_SOD-123
SW60,switch,"B",4,5,137.588,99.487,0,MX_Hotswap_1u
D60,diode,"B",4,5,144.088,105.987,90,D_SOD-123
SW61,switch,"N",4,6,156.638,99.487,0,MX_Hotswap_1u
D61,diode,"N",4,6,163.138,105.987,90,D_SOD-123
SW62,switch,"M",4,7,175.688,99.487,0,MX_Hotswap_1u
D62,diode,"M",4,7,182.188,105.987,90,D_SOD-123
SW63,switch,",",4,8,194.738,99.487,0,MX_Hotswap_1u
D63,diode,",",4,8,201.238,105.987,90,D_SOD-123
SW64,switch,".",4,9,213.787,99.487,0,MX_Hotswap_1u
D64,diode,".",4,9,220.287,105.987,90,D_SOD-123
SW65,switch,"/",4,10,232.838,99.487,0,MX_Hotswap_1u
D65,diode,"/",4,10,239.338,105.987,90,D_SOD-123
SW66,switch,"RShift",4,11,259.031,99.487,0,MX_Hotswap_1u
D66,diode,"RShift",4,11,265.531,105.987,90,D_SOD-123
SW67,switch,"LCtrl",5,0,20.906,118.538,0,MX_Hotswap_1u
D67,diode,"LCtrl",5,0,27.406,125.038,90,D_SOD-123
SW68,switch,"LGUI",5,1,44.719,118.538,0,MX_Hotswap_1u
D68,diode,"LGUI",5,1,51.219,125.038,90,D_SOD-123
SW69,switch,"LAlt",5,2,68.531,118.538,0,MX_Hotswap_1u
D69,diode,"LAlt",5,2,75.031,125.038,90,D_SOD-123
SW70,switch,"Space",5,3,139.969,118.538,0,MX_Hotswap_1u
D70,diode,"Space",5,3,146.469,125.038,90,D_SOD-123
SW71,switch,"RAlt",5,4,211.406,118.538,0,MX_Hotswap_1u
D71,diode,"RAlt",5,4,217.906,125.038,90,D_SOD-123
SW72,switch,"Fn",5,5,235.219,118.538,0,MX_Hotswap_1u
D72,diode,"Fn",5,5,241.719,125.038,90,D_SOD-123
SW73,switch,"RCtrl",5,6,259.031,118.538,0,MX_Hotswap_1u
D73,diode,"RCtrl",5,6,265.531,125.038,90,D_SOD-123
SW74,switch,"PrtSc",0,13,309.038,18.525,0,MX_Hotswap_1u
D74,diode,"PrtSc",0,13,315.538,25.025,90,D_SOD-123
SW75,switch,"Ins",1,14,309.038,42.337,0,MX_Hotswap_1u
D75,diode,"Ins",1,14,315.538,48.837,90,D_SOD-123
SW76,switch,"Home",1,15,328.088,42.337,0,MX_Hotswap_1u
D76,diode,"Home",1,15,334.588,48.837,90,D_SOD-123
SW77,switch,"PgUp",2,14,309.038,61.388,0,MX_Hotswap_1u
D77,diode,"PgUp",2,14,315.538,67.888,90,D_SOD-123
SW78,switch,"Del",2,15,328.088,61.388,0,MX_Hotswap_1u
D78,diode,"Del",2,15,334.588,67.888,90,D_SOD-123
SW79,switch,"End",3,13,309.038,80.438,0,MX_Hotswap_1u
D79,diode,"End",3,13,315.538,86.938,90,D_SOD-123
SW80,switch,"PgDn",3,14,328.088,80.438,0,MX_Hotswap_1u
D80,diode,"PgDn",3,14,334.588,86.938,90,D_SOD-123
SW81,switch,"Up",4,12,309.038,99.487,0,MX_Hotswap_1u
D81,diode,"Up",4,12,315.538,105.987,90,D_SOD-123
SW82,switch,"Left",5,7,289.988,118.538,0,MX_Hotswap_1u
D82,diode,"Left",5,7,296.488,125.038,90,D_SOD-123
SW83,switch,"Down",5,8,309.038,118.538,0,MX_Hotswap_1u
D83,diode,"Down",5,8,315.538,125.038,90,D_SOD-123
SW84,switch,"Right",5,9,328.088,118.538,0,MX_Hotswap_1u
D84,diode,"Right",5,9,334.588,125.038,90,D_SOD-123
